,Base,Inu,AssP,Ass
f__Nannochloropsis_oceanica,0.000497512,0.000319217,0,0
f__Actinomycetaceae,0,0.001383273,0.001672162,0
f__Ruminococcaceae,0.000497512,0.001064056,0.002308055,0.000144321
f__Nocardiopsaceae,0,0,0.000329722,0
f__Pseudomonadaceae,0.023880597,0.028197489,0.165897315,0.009525184
f__Veillonellaceae,0.000995025,0,0.002425813,0
f__Erysipelotrichaceae,0,0.000425622,0.004121526,0
f__Rhodospirillaceae,0,0.002021707,0.016933584,0.001298889
f__Corynebacteriaceae,0.000497512,0.002979357,0.001012718,0.000432963
f__Vibrionaceae,0,0.000532028,0,0
f__Lactobacillaceae,0.002487562,0.007661205,0.002826189,0.03405975
f__Blastocatellaceae_Subgroup_4,0,0.000425622,0,0
f__Bacteriovoracaceae,0,0,0.000117758,0
f__Prevotellaceae,0,0,0.004427697,0
f__Methylophilaceae,0,0.000957651,9.42E-05,0.001010247
f__Rhizobiales_Incertae_Sedis,0.002985075,0.000425622,0.000730099,0.004185308
f__Neisseriaceae,0,0,0.002308055,0
f__Coxiellaceae,0,0,0,0.000288642
f__Triticum_aestivum_bread_wheat,0,0.046818472,0.006146962,0.000144321
f__Streptococcaceae,0,0.000957651,0.004286387,0.012844567
f__Planctomycetaceae,0,0.000319217,4.71E-05,0.000144321
f__Fimbriimonadaceae,0.008457711,0.004469036,0,0.000144321
f__Desulfurellaceae,0.000995025,0,7.07E-05,0.001154568
f__AKIW781,0,0,0.000188413,0
f__Flammeovirgaceae,0,0.000106406,0.000259067,0
f__Bacteroidales_S24-7_group,0.000995025,0,0.000565238,0
f__Bradyrhizobiaceae,0.025373134,0.054692488,0.00120113,0.012411604
f__Holosporaceae,0.000497512,0.003830602,0,0.000144321
f__Acidiferrobacteraceae,0,0,0,0.000432963
f__Longimicrobiaceae,0,0,0.000353274,0
f__Acidimicrobiaceae,0.005472637,0.000106406,0.000306171,0.002164815
f__Xanthobacteraceae,0.032338309,0.000106406,0.001271785,0.023812961
f__DA111,0.000497512,0,0,0.003319382
f__Sphingomonadaceae,0.100497513,0.11704618,0.060504004,0.002597778
f__Sphingobacteriaceae,0,0.000532028,0.001577956,0.001298889
f__Dietziaceae,0,0,0.000659444,0
f__YNPFFP1,0.000497512,0,4.71E-05,0.001587531
f__Family_XIII,0,0,0.000211964,0
f__Rickettsiales_Incertae_Sedis,0,0,0.001672162,0
f__Gemmatimonadaceae,0.003482587,0,0.000188413,0.00736037
f__Thermaceae,0,0.000744839,0,0
f__Halomonadaceae,0,0,0.013118229,0.001587531
f__0319-6G20,0,0,0.000282619,0
f__Brucellaceae,0,0.00776761,2.36E-05,0.012267283
f__Burkholderiaceae,0.07960199,0.064375399,0.000989166,0.001154568
f__Alteromonadaceae,0,0,0.000800754,0.000865926
f__unidentified,0.086069652,0.056501383,0.023221856,0.044883823
f__Nocardiaceae,0.013432836,0.049585018,0.002708431,0.001010247
f__P5D1-392,0,0,0.000141309,0
f__Oxalobacteraceae,0.02039801,0.013726325,0.011328309,0.000865926
f__Methylobacteriaceae,0.011442786,0.034262609,0.001083373,0.000288642
f__Chromatiaceae,0,0.000106406,0.00089496,0
f__Aeromonadaceae,0.002985075,0.000212811,0.000588789,0
f__Rhodocyclaceae,0.000497512,0.004256225,0,0.000144321
f__Microbacteriaceae,0.0039801,0.002340924,0.000259067,0.000721605
f__Sporolactobacillaceae,0,0,0.004357042,0
f__Coriobacteriaceae,0,0,0.001907678,0
f__Gaiellaceae,0.001492537,0,4.71E-05,0.001298889
f__Acidobacteriaceae_Subgroup_1,0.006965174,0,0.000117758,0.009092221
f__Brevibacteriaceae,0,0.000212811,0.029180405,0.000721605
f__Peptostreptococcaceae,0,0,0.004757419,0.000288642
f__Enterococcaceae,0,0.021813152,0.000164861,0.001731852
f__Nocardioidaceae,0.00199005,0,0.000730099,0.001010247
f__Actinopolysporaceae,0,0,0.000400377,0.005195555
f__Bifidobacteriaceae,0.000497512,0,0.000188413,0
f__Methylocystaceae,0,0.003830602,0,0
f__Lentimicrobiaceae,0,0,0,0.00303074
f__Dermacoccaceae,0,0,0.000541686,0
f__Thermomonosporaceae,0,0,0.000706547,0.000144321
f__Mycobacteriaceae,0.00199005,0.002979357,0.001742817,0.002164815
f__Family_XII,0.001492537,0,4.71E-05,0
f__Propionibacteriaceae,0.000497512,0.001064056,0.000329722,0.000144321
f__Listeriaceae,0,0.001170462,0.000188413,0
f__Fibrobacteraceae,0,0,0.000117758,0
f__Mitochondria,0.008457711,0.024686103,0.007442299,0.001298889
f__Family_XI,0,0,0.001295337,0.000288642
f__TM146,0,0,0.000141309,0
f__Bacillaceae,0.001492537,0.003511385,0.163730569,0.151392703
f__Pseudonocardiaceae,0.000497512,0.003830602,0.00164861,0.009669505
f__Conexibacteraceae,0,0,0,0.000144321
f__Cytophagaceae,0.001492537,0.020961907,0.002472916,0.000288642
f__Gsoil-1167,0.000497512,0,2.36E-05,0.000721605
f__Flavobacteriaceae,0.007462687,0.030538412,0.023174753,0.000721605
f__Demequinaceae,0.000497512,0.002447329,0,0
f__Erythrobacteraceae,0,0,0.002755535,0.000144321
f__Elev-16S-1332,0.001492537,0,9.42E-05,0.005051234
f__Nitrospiraceae,0.010945274,0,0.000824305,0.00447395
f__Aegilops_tauschii,0,0,4.71E-05,0
f__Solibacteraceae_Subgroup_3,0.01641791,0.000425622,0.000682996,0.013421851
f__Family_XVIII,0,0.000425622,0,0
f__Lachnospiraceae,0,0.002979357,0.003626943,0.024390245
f__Haliangiaceae,0.006467662,0,0.000376825,0.004906913
f__Moraxellaceae,0.122885572,0.049797829,0.161469618,0.022369751
f__Planococcaceae,0.000995025,0.002872952,0.000329722,0.048636169
f__Acidothermaceae,0.015422886,0,0.000635893,0.017174196
f__Geodermatophilaceae,0.003482587,0.000744839,0.000164861,0.001010247
f__CCU22,0,0.000212811,0,0
f__Puniceicoccaceae,0,0,0.000235516,0
f__Comamonadaceae,0.131840796,0.194083847,0.003697598,0.003319382
f__Chitinophagaceae,0.008955224,0.014045542,0.000847857,0.000288642
f__BPS-CK174,0,0,0.000117758,0
f__OM1_clade,0,0.002766546,0,0
f__BCf3-20,0.000497512,0,7.07E-05,0.00144321
f__Leptotrichiaceae,0,0,0.00044748,0
f__288-2,0,0,4.71E-05,0
f__Paenibacillaceae,0,0,0,0.005339876
f__Pasteurellaceae,0,0,0.002520019,0
f__Saprospiraceae,0,0.00170249,0,0
f__Unknown_Family,0,0.000425622,0.000306171,0
f__Staphylococcaceae,0.000497512,0.001489679,0.004192181,0.001731852
f__Nitrosomonadaceae,0.02039801,0,0.001224682,0.009525184
f__Frankiaceae,0.00199005,0,2.36E-05,0.003319382
f__Anaerolineaceae,0,0,0.000164861,0
f__Xanthomonadales_Incertae_Sedis,0.001492537,0.000532028,0.000329722,0.003896666
f__Promicromonosporaceae,0,0.000106406,0.001177579,0
f__Carnobacteriaceae,0,0.000638434,0.000400377,0
f__Kineosporiaceae,0.000995025,0,7.07E-05,0.000865926
f__Phytophthora_lateralis_MPF4,0,0,0.000188413,0
f__Legionellaceae,0.005472637,0.005320281,0,0
f__Helicobacteraceae,0,0,0.016603862,0
f__Acetobacteraceae,0.006467662,0.001064056,0.003085257,0.005195555
f__Spirochaetaceae,0,0.000212811,7.07E-05,0
f__Hyphomicrobiaceae,0.010447761,0.00170249,0.00939708,0.00303074
f__Alcaligenaceae,0,0.000425622,0.001365992,0.001731852
f__Ferrimonadaceae,0,0,0,0.000721605
f__Streptosporangiaceae,0,0,0.000259067,0.000144321
f__Dermabacteraceae,0,0.000532028,0.009938766,0
f__Verrucomicrobiaceae,0,0.000851245,0,0
f__Caulobacteraceae,0.00199005,0.015109598,0.020560527,0.002020494
f__Nevskiaceae,0.000497512,0,0.000188413,0
f__Thermoactinomycetaceae,0,0,0.044889307,0.010824073
f__Cellvibrionaceae,0,0.001276867,0.000376825,0
f__Chloroflexaceae,0,0,0.000259067,0
f__KF-JG30-B3,0.00199005,0,4.71E-05,0.001010247
f__Rhodospirillales_Incertae_Sedis,0.007960199,0.000212811,0.000164861,0.002164815
f__Micromonosporaceae,0.001492537,0.002128112,0.001154027,0.002020494
f__Family_X,0,0,0.000329722,0
f__Rhodobiaceae,0,0,2.36E-05,0.001010247
f__Leuconostocaceae,0,0.005001064,0.000141309,0.013999135
f__Streptomycetaceae,0.000497512,0,0.002661328,0.001154568
f__Intrasporangiaceae,0,0,0.000376825,0.000144321
f__Xanthomonadaceae,0.02039801,0.024260481,0.04597268,0.007793333
f__Micrococcaceae,0.117412936,0.003617791,0.011281206,0.269302941
f__Bogoriellaceae,0,0,0.00313236,0
f__Cryomorphaceae,0,0.001489679,0,0
f__FamilyI,0,0,0.001931229,0.000144321
f__Rhodobacteraceae,0.009452736,0.021068312,0.024093264,0
f__Archangiaceae,0,0,0,0.00144321
f__Rhizobiaceae,0,0.011704618,0.000777202,0.000721605
f__FFCH16767,0,0,0.000235516,0
f__Clostridiaceae_1,0,0,0.000989166,0.024101603
f__Deinococcaceae,0,0.003617791,0.000306171,0
f__Porphyromonadaceae,0,0,0.000612341,0
f__Aerococcaceae,0,0,0.007089025,0
f__Bromus_tectorum,0,0,7.07E-05,0
f__Fusobacteriaceae,0,0,0.001106924,0
f__JG37-AG-20,0.000995025,0,4.71E-05,0.001587531
f__Polyangiaceae,0,0,0.000188413,0.000577284
f__HSB_OF53-F07,0.000497512,0,0,0.001010247
f__Enterobacteriaceae,0.004975122,0.000851246,0.017545929,0.103189457